# Ollama Monitoring Session
# Start Time:,2026-01-18 23:41:35
# Duration:,239.7 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,5.7,0,76.5,25.23,0,0,3.71,5.66,9.37
1.12,11.0,0,76.5,25.23,0,0,7.15,5.66,12.81
2.23,1.3,0,76.6,25.23,0,0,0.85,5.65,6.5
3.33,7.9,0,76.7,25.23,0,0,5.13,5.66,10.8
4.44,6.0,0,76.7,25.23,0,0,3.9,5.68,9.58
5.54,5.1,0,76.7,25.23,0,0,3.31,5.7,9.02
6.64,12.9,0,76.8,25.23,0,0,8.38,5.69,14.08
7.75,16.7,0,76.5,25.23,0,0,10.85,5.68,16.54
8.85,12.2,0,76.5,25.29,0,0,7.93,5.7,13.63
9.96,19.7,94,76.4,25.31,0,0,12.8,20.52,33.32
11.06,25.4,0,76.4,25.31,0,0,16.51,16.86,33.37
12.16,57.1,0,76.3,25.28,0,0,37.12,12.61,49.72
13.27,36.6,0,76.4,25.28,0,0,23.79,7.62,31.41
14.38,0.0,0,76.4,25.28,0,0,0.0,6.77,6.77
15.48,10.5,0,76.3,25.31,0,0,6.83,5.81,12.64
16.58,27.5,94,76.4,25.49,0,0,17.88,22.95,40.82
17.69,6.4,0,76.4,25.49,0,0,4.16,16.84,21.0
18.79,12.9,0,76.1,25.49,0,0,8.38,12.71,21.09
19.89,2.8,0,76.3,25.49,0,0,1.82,7.66,9.48
21.0,10.8,0,76.3,25.52,0,0,7.02,6.72,13.74
22.1,12.3,93,76.4,33.15,0,0,8.0,17.62,25.62
23.21,20.3,94,76.4,33.16,0,0,13.2,28.41,41.61
24.31,14.8,0,76.6,33.16,0,0,9.62,14.79,24.41
25.42,7.6,0,76.9,33.16,0,0,4.94,12.4,17.34
26.52,3.8,0,76.9,33.16,0,0,2.47,10.36,12.83
27.62,12.9,0,76.9,33.16,0,0,8.38,7.64,16.02
28.73,26.0,95,76.9,40.89,0,0,16.9,15.46,32.36
29.83,1.4,0,76.9,38.16,0,0,0.91,16.36,17.27
30.94,100.0,0,76.7,38.16,0,0,65.0,12.77,77.77
32.04,3.8,0,76.6,38.16,0,0,2.47,10.0,12.47
33.14,2.8,0,76.6,38.16,0,0,1.82,6.64,8.46
34.25,16.9,95,76.7,40.15,0,0,10.98,13.52,24.51
35.35,16.9,0,76.4,40.15,0,0,10.98,21.48,32.47
36.46,11.7,0,76.3,40.15,0,0,7.6,15.13,22.74
37.56,11.3,0,76.4,40.15,0,0,7.35,12.86,20.2
38.66,6.3,0,76.4,40.15,0,0,4.09,10.3,14.4
39.77,23.7,95,76.5,45.84,0,0,15.4,9.61,25.01
40.87,2.5,0,76.5,45.84,0,0,1.62,23.18,24.8
41.98,3.3,0,76.3,45.84,0,0,2.15,15.28,17.43
43.08,8.8,0,76.5,45.84,0,0,5.72,12.9,18.62
44.19,8.6,0,76.3,45.84,0,0,5.59,10.62,16.21
45.29,23.3,100,76.4,47.84,0,0,15.15,6.71,21.86
46.39,3.6,54,76.4,47.84,0,0,2.34,26.91,29.25
47.5,8.0,0,76.4,47.84,0,0,5.2,15.1,20.3
48.6,9.4,0,76.4,47.84,0,0,6.11,12.93,19.04
49.71,18.2,0,76.3,47.84,0,0,11.83,10.42,22.25
50.81,2.7,0,76.2,47.84,0,0,1.76,6.95,8.7
51.92,16.0,0,76.2,47.84,0,0,10.4,5.88,16.28
53.02,12.1,94,76.3,45.57,0,0,7.87,15.67,23.54
54.12,5.2,0,76.3,45.58,0,0,3.38,16.6,19.98
55.23,20.5,0,76.3,45.58,0,0,13.32,12.52,25.85
56.33,17.9,0,76.2,45.58,0,0,11.63,10.23,21.87
57.44,2.7,0,76.2,45.58,0,0,1.76,6.17,7.92
58.54,7.9,100,76.2,47.64,0,0,5.13,8.08,13.22
59.65,5.0,0,76.4,47.65,0,0,3.25,16.7,19.95
60.75,11.4,0,76.3,47.65,0,0,7.41,12.91,20.32
61.86,9.9,0,76.2,47.65,0,0,6.44,10.35,16.78
62.96,10.1,0,76.4,47.65,0,0,6.56,6.86,13.42
64.06,9.7,0,76.2,47.69,0,0,6.3,5.88,12.19
65.17,2.2,27,76.2,45.7,0,0,1.43,19.3,20.73
66.27,5.6,0,76.1,45.7,0,0,3.64,15.8,19.44
67.38,5.8,0,76.1,45.7,0,0,3.77,12.54,16.31
68.48,14.3,0,76.1,45.7,0,0,9.3,10.04,19.34
69.59,25.0,0,76.0,45.7,0,0,16.25,6.83,23.08
70.69,9.6,100,76.0,47.72,0,0,6.24,6.49,12.73
71.79,8.0,0,76.1,47.73,0,0,5.2,22.66,27.86
72.9,20.0,0,76.1,47.73,0,0,13.0,15.55,28.55
74.0,0.0,0,76.1,47.73,0,0,0.0,12.5,12.5
75.11,2.6,0,76.0,47.75,0,0,1.69,10.15,11.84
76.21,10.5,48,76.0,47.84,0,0,6.83,6.42,13.25
77.31,26.3,0,76.1,45.81,0,0,17.1,22.35,39.45
78.42,19.5,0,76.0,45.81,0,0,12.68,15.45,28.12
79.52,9.5,0,75.5,45.81,0,0,6.17,12.56,18.74
80.62,22.7,0,75.3,45.81,0,0,14.75,10.07,24.82
81.73,0.0,0,75.4,45.81,0,0,0.0,6.76,6.76
82.83,14.9,0,75.4,45.82,0,0,9.68,5.84,15.52
83.94,12.9,100,75.2,47.83,0,0,8.38,8.87,17.25
85.05,4.5,0,75.8,47.83,0,0,2.92,21.65,24.58
86.15,43.2,0,76.0,47.83,0,0,28.08,15.57,43.65
87.25,50.9,0,76.0,47.83,0,0,33.09,12.65,45.74
88.37,9.3,0,75.9,47.83,0,0,6.05,10.34,16.39
89.47,5.9,0,75.9,47.83,0,0,3.84,6.07,9.91
90.57,23.0,95,75.9,45.84,0,0,14.95,12.76,27.71
91.68,44.8,0,75.5,45.84,0,0,29.12,18.87,47.99
92.78,11.1,0,75.4,45.84,0,0,7.21,15.73,22.95
93.89,14.8,0,75.5,45.84,0,0,9.62,10.57,20.19
95.0,10.1,0,75.5,45.84,0,0,6.56,8.44,15.0
96.1,24.6,94,75.6,47.91,0,0,15.99,10.97,26.96
97.2,0.0,0,75.4,47.91,0,0,0.0,19.94,19.94
98.31,13.7,0,75.1,47.91,0,0,8.9,15.24,24.14
99.41,20.0,0,75.3,47.91,0,0,13.0,10.32,23.32
100.52,3.7,0,75.3,47.91,0,0,2.41,7.07,9.47
101.63,10.8,100,75.4,47.96,0,0,7.02,6.65,13.67
102.73,6.7,0,75.4,45.94,0,0,4.36,22.96,27.32
103.84,7.0,0,75.3,45.94,0,0,4.55,15.85,20.4
104.94,3.6,0,75.4,45.94,0,0,2.34,12.64,14.98
106.05,1.2,0,75.4,45.94,0,0,0.78,10.55,11.33
107.15,35.2,98,75.4,47.94,0,0,22.88,9.1,31.98
108.26,5.2,0,75.4,47.95,0,0,3.38,21.43,24.81
109.36,2.1,0,75.5,47.95,0,0,1.36,15.37,16.73
110.47,2.5,0,75.3,47.95,0,0,1.62,12.59,14.22
111.58,7.5,0,75.4,47.95,0,0,4.88,10.51,15.38
112.68,8.9,50,75.3,48.03,0,0,5.79,6.77,12.56
113.78,18.5,11,75.4,45.98,0,0,12.03,22.14,34.16
114.89,6.6,0,75.2,45.98,0,0,4.29,15.4,19.69
115.99,9.3,0,75.4,45.98,0,0,6.05,12.63,18.67
117.1,2.6,0,75.3,45.98,0,0,1.69,10.15,11.84
118.2,15.9,0,75.3,46.01,0,0,10.34,6.93,17.27
