Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
9.96,19.7,94,76.4,25.31,0,0,12.8,20.52,33.32
16.58,27.5,94,76.4,25.49,0,0,17.88,22.95,40.82
22.1,12.3,93,76.4,33.15,0,0,8.0,17.62,25.62
23.21,20.3,94,76.4,33.16,0,0,13.2,28.41,41.61
28.73,26.0,95,76.9,40.89,0,0,16.9,15.46,32.36
34.25,16.9,95,76.7,40.15,0,0,10.98,13.52,24.51
39.77,23.7,95,76.5,45.84,0,0,15.4,9.61,25.01
45.29,23.3,100,76.4,47.84,0,0,15.15,6.71,21.86
46.39,3.6,54,76.4,47.84,0,0,2.34,26.91,29.25
53.02,12.1,94,76.3,45.57,0,0,7.87,15.67,23.54
58.54,7.9,100,76.2,47.64,0,0,5.13,8.08,13.22
65.17,2.2,27,76.2,45.7,0,0,1.43,19.3,20.73
70.69,9.6,100,76.0,47.72,0,0,6.24,6.49,12.73
76.21,10.5,48,76.0,47.84,0,0,6.83,6.42,13.25
83.94,12.9,100,75.2,47.83,0,0,8.38,8.87,17.25
90.57,23.0,95,75.9,45.84,0,0,14.95,12.76,27.71
96.1,24.6,94,75.6,47.91,0,0,15.99,10.97,26.96
101.63,10.8,100,75.4,47.96,0,0,7.02,6.65,13.67
107.15,35.2,98,75.4,47.94,0,0,22.88,9.1,31.98
112.68,8.9,50,75.3,48.03,0,0,5.79,6.77,12.56
113.78,18.5,11,75.4,45.98,0,0,12.03,22.14,34.16
119.3,6.9,95,75.4,48.02,0,0,4.49,14.69,19.17
124.83,8.1,55,75.3,48.04,0,0,5.27,6.09,11.36
125.93,20.5,20,75.4,46.03,0,0,13.32,22.16,35.48
131.45,10.8,96,75.3,48.05,0,0,7.02,9.44,16.46
139.18,32.2,94,75.3,46.09,0,0,20.93,15.47,36.41
144.7,23.5,93,75.5,48.11,0,0,15.27,7.66,22.94
151.33,15.2,95,75.5,46.16,0,0,9.88,21.3,31.18
156.85,14.3,94,75.3,48.22,0,0,9.3,15.1,24.39
162.37,20.6,95,75.4,46.24,0,0,13.39,15.07,28.46
167.89,15.9,100,75.5,48.29,0,0,10.34,8.09,18.42
173.41,20.3,94,75.4,46.22,0,0,13.2,11.06,24.26
178.93,19.0,94,75.4,48.29,0,0,12.35,15.99,28.34
184.44,15.1,94,75.3,46.27,0,0,9.81,13.94,23.76
189.96,15.6,95,75.2,48.3,0,0,10.14,15.43,25.57
195.49,11.1,94,75.0,46.34,0,0,7.21,14.42,21.63
201.0,100.0,41,74.7,46.34,0,0,65.0,6.14,71.14
