# Ollama Monitoring Session
# Start Time:,2026-01-19 00:48:33
# Duration:,359.8 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,7.8,0,68.2,470.74,0,0,5.07,5.39,10.46
1.11,11.4,0,68.2,470.74,0,0,7.41,5.4,12.81
2.22,2.4,0,68.1,470.74,0,0,1.56,5.41,6.96
3.32,9.6,0,68.6,470.74,0,0,6.24,5.44,11.68
4.42,7.1,0,68.6,470.74,0,0,4.61,5.41,10.02
5.53,35.6,0,68.8,470.74,0,0,23.14,5.38,28.53
6.63,14.3,0,69.2,470.74,0,0,9.3,5.41,14.71
7.74,10.9,0,69.0,470.74,0,0,7.08,5.42,12.5
8.84,32.7,0,68.9,470.74,0,0,21.26,5.4,26.65
9.95,5.5,0,68.8,470.74,0,0,3.58,5.39,8.96
11.06,9.2,0,68.8,470.74,0,0,5.98,5.4,11.38
12.16,4.1,0,68.8,470.74,0,0,2.66,5.4,8.06
13.27,3.1,0,68.8,470.74,0,0,2.02,5.39,7.4
14.37,19.8,0,68.8,469.55,0,0,12.87,7.48,20.35
15.48,20.4,0,69.1,469.55,0,0,13.26,9.82,23.08
16.58,10.5,0,69.1,469.55,0,0,6.83,9.12,15.95
17.68,10.3,0,69.1,469.55,0,0,6.7,8.47,15.17
18.78,22.1,98,69.1,469.56,0,0,14.37,6.67,21.03
19.89,10.7,0,68.9,469.56,0,0,6.96,21.6,28.55
20.99,37.3,0,69.0,469.56,0,0,24.25,15.56,39.81
22.09,17.2,0,68.7,469.56,0,0,11.18,12.47,23.66
23.2,3.0,0,68.8,469.56,0,0,1.95,9.93,11.88
24.3,64.7,100,68.8,469.57,0,0,42.05,7.32,49.37
25.4,22.0,0,68.8,469.57,0,0,14.3,19.69,33.99
26.51,10.7,0,69.0,469.57,0,0,6.96,14.9,21.85
27.61,5.8,0,69.6,469.57,0,0,3.77,12.51,16.28
28.71,1.4,0,69.6,469.57,0,0,0.91,6.56,7.47
29.82,1.5,0,69.5,469.57,0,0,0.97,9.77,10.75
30.92,17.6,0,69.4,469.57,0,0,11.44,11.36,22.8
32.03,2.5,0,69.4,469.57,0,0,1.62,9.8,11.43
33.13,9.9,0,69.5,469.57,0,0,6.44,8.82,15.25
34.24,8.9,60,68.8,469.58,0,0,5.79,6.47,12.26
35.34,9.2,95,68.8,469.58,0,0,5.98,28.14,34.12
36.45,9.0,0,68.9,469.59,0,0,5.85,24.87,30.72
37.55,6.7,0,68.8,469.59,0,0,4.36,15.59,19.94
38.65,4.0,0,68.8,469.59,0,0,2.6,12.6,15.2
39.76,25.3,96,68.9,469.6,0,0,16.45,15.49,31.94
40.86,4.2,96,68.9,469.6,0,0,2.73,30.01,32.74
41.96,8.5,96,68.8,469.6,0,0,5.53,29.97,35.49
43.07,13.5,97,68.7,469.6,0,0,8.78,29.87,38.64
44.17,11.0,0,68.8,469.6,0,0,7.15,24.31,31.46
45.27,23.8,49,69.0,470.2,0,0,15.47,16.84,32.31
46.37,12.9,96,68.9,470.2,0,0,8.38,29.94,38.33
47.48,38.4,95,68.9,470.2,0,0,24.96,30.0,54.96
48.58,46.4,0,68.8,470.2,0,0,30.16,18.14,48.3
49.69,10.6,0,68.6,470.2,0,0,6.89,15.04,21.93
50.79,5.1,0,68.6,470.2,0,0,3.31,10.38,13.69
51.89,9.4,43,68.7,470.27,0,0,6.11,7.53,13.64
53.0,18.4,97,68.7,470.86,0,0,11.96,28.24,40.2
54.1,13.8,94,68.6,470.86,0,0,8.97,29.84,38.8
55.2,17.5,96,68.6,470.86,0,0,11.38,29.94,41.32
56.3,13.0,97,68.7,470.86,0,0,8.45,29.97,38.42
57.41,18.2,97,68.7,470.86,0,0,11.83,30.03,41.86
58.51,4.1,0,68.6,470.86,0,0,2.66,25.19,27.86
59.61,17.4,95,68.6,471.54,0,0,11.31,20.28,31.59
60.72,20.3,97,68.6,471.54,0,0,13.2,30.03,43.23
61.83,13.4,97,68.6,471.54,0,0,8.71,29.99,38.7
62.93,17.1,97,68.7,471.55,0,0,11.12,29.93,41.05
64.03,32.8,97,69.0,471.55,0,0,21.32,29.9,51.22
65.14,12.3,97,69.1,471.55,0,0,8.0,29.88,37.88
66.24,35.0,97,69.0,471.56,0,0,22.75,29.93,52.68
67.34,17.7,97,69.0,471.56,0,0,11.5,29.91,41.41
68.44,5.6,96,68.9,471.56,0,0,3.64,29.95,33.59
69.55,9.8,0,68.9,471.57,0,0,6.37,25.1,31.47
70.65,8.3,0,68.8,471.57,0,0,5.4,12.16,17.55
71.76,35.1,97,69.3,472.39,0,0,22.82,13.75,36.56
72.86,29.1,98,69.4,472.39,0,0,18.92,17.36,36.28
73.96,25.8,99,69.3,472.39,0,0,16.77,17.33,34.1
75.07,26.8,98,69.3,472.39,0,0,17.42,17.31,34.73
76.17,25.0,99,69.2,472.39,0,0,16.25,17.38,33.63
77.27,18.3,99,69.2,472.47,0,0,11.89,17.39,29.29
78.38,11.0,99,69.1,472.47,0,0,7.15,17.36,24.51
79.48,10.0,99,69.1,472.47,0,0,6.5,17.36,23.86
80.58,8.2,99,69.0,472.47,0,0,5.33,17.36,22.68
81.69,9.0,99,69.0,472.48,0,0,5.85,17.35,23.2
82.79,57.1,99,68.9,472.5,0,0,37.12,17.35,54.47
83.89,13.9,99,68.9,472.5,0,0,9.04,17.33,26.36
84.99,9.2,99,68.8,472.5,0,0,5.98,17.34,23.32
86.1,10.0,99,68.8,472.5,0,0,6.5,17.34,23.84
87.2,10.7,99,69.6,472.5,0,0,6.96,17.4,24.35
88.3,22.2,99,69.4,472.5,0,0,14.43,17.29,31.72
89.41,10.0,99,69.3,472.5,0,0,6.5,17.29,23.79
90.51,11.1,99,69.1,472.51,0,0,7.21,17.3,24.52
91.61,8.6,99,69.1,472.51,0,0,5.59,17.33,22.92
92.71,28.6,99,69.1,472.51,0,0,18.59,17.32,35.91
93.82,7.5,99,68.4,472.51,0,0,4.88,17.33,22.21
94.92,10.0,99,68.4,472.51,0,0,6.5,17.32,23.82
96.02,9.9,99,68.4,472.51,0,0,6.44,17.32,23.76
97.13,12.7,99,68.4,472.51,0,0,8.26,17.29,25.54
98.23,25.0,99,68.5,472.51,0,0,16.25,17.4,33.65
99.34,21.1,99,68.8,472.51,0,0,13.72,17.43,31.15
100.44,22.5,99,68.8,472.51,0,0,14.62,17.35,31.98
101.54,23.2,99,68.9,472.52,0,0,15.08,17.43,32.51
102.64,2.7,0,68.5,472.52,0,0,1.76,12.5,14.26
103.75,2.5,0,68.5,472.52,0,0,1.62,10.37,11.99
104.85,12.3,99,68.7,466.61,0,0,8.0,11.09,19.09
105.96,13.4,99,68.6,466.61,0,0,8.71,17.43,26.14
107.06,10.7,99,68.6,466.61,0,0,6.96,17.45,24.41
108.16,16.7,99,68.8,466.61,0,0,10.85,17.47,28.32
109.27,10.0,99,68.9,466.61,0,0,6.5,17.48,23.98
110.37,19.2,99,68.8,466.61,0,0,12.48,17.47,29.95
111.47,14.9,99,68.9,466.61,0,0,9.68,17.51,27.19
112.58,19.0,0,68.9,466.61,0,0,12.35,9.25,21.6
113.68,10.0,0,68.8,466.61,0,0,6.5,8.21,14.71
114.78,11.9,44,68.7,466.96,0,0,7.74,8.82,16.55
115.9,7.1,99,68.8,467.54,0,0,4.61,17.01,21.62
117.0,10.1,99,68.8,467.54,0,0,6.56,17.45,24.02
118.1,15.4,98,68.8,468.06,0,0,10.01,17.11,27.12
119.21,6.2,99,68.8,468.06,0,0,4.03,17.44,21.47
120.32,1.6,0,68.8,468.06,0,0,1.04,15.91,16.95
121.42,1.3,0,68.7,468.06,0,0,0.85,10.98,11.83
122.53,17.5,100,68.8,468.15,0,0,11.38,10.97,22.34
123.63,18.8,100,68.8,468.15,0,0,12.22,15.01,27.23
124.74,17.5,100,69.0,468.16,0,0,11.38,15.0,26.37
125.84,24.6,100,69.2,468.16,0,0,15.99,14.98,30.97
126.94,21.5,100,69.1,468.16,0,0,13.97,14.96,28.94
128.05,25.0,99,69.1,468.75,0,0,16.25,17.04,33.29
129.15,26.5,99,69.1,468.75,0,0,17.23,17.48,34.71
130.25,22.8,99,69.0,468.75,0,0,14.82,17.5,32.32
131.35,30.0,99,69.3,468.75,0,0,19.5,17.56,37.06
132.46,8.7,99,68.9,468.75,0,0,5.65,17.58,23.24
133.56,15.1,99,68.8,468.75,0,0,9.81,17.47,27.29
134.66,13.4,99,68.7,468.75,0,0,8.71,17.5,26.21
135.77,4.1,99,68.7,468.75,0,0,2.66,17.51,20.18
136.88,10.8,99,68.7,468.75,0,0,7.02,17.53,24.55
137.98,11.8,99,68.7,468.75,0,0,7.67,17.49,25.16
139.09,14.5,99,68.7,468.75,0,0,9.42,17.49,26.91
140.19,14.9,99,68.7,468.75,0,0,9.68,17.51,27.19
141.29,11.2,99,68.6,468.75,0,0,7.28,17.52,24.8
142.39,10.8,98,68.6,468.75,0,0,7.02,17.52,24.54
143.5,9.9,99,68.5,468.76,0,0,6.44,17.47,23.91
144.6,2.7,0,68.4,468.76,0,0,1.76,12.34,14.1
145.7,29.5,0,68.5,468.76,0,0,19.18,10.93,30.11
146.81,14.3,100,69.4,468.84,0,0,9.3,12.37,21.66
147.91,17.6,100,69.4,468.85,0,0,11.44,14.94,26.38
149.01,15.7,100,69.3,468.85,0,0,10.21,14.93,25.14
150.12,15.6,100,69.3,468.85,0,0,10.14,14.98,25.12
151.22,6.2,99,69.3,470.05,0,0,4.03,15.63,19.66
152.32,100.0,0,69.3,470.05,0,0,65.0,10.78,75.78
153.43,8.7,0,68.8,470.37,0,0,5.65,9.37,15.03
154.53,19.3,100,69.0,470.4,0,0,12.54,15.0,27.55
155.63,20.6,100,69.1,470.4,0,0,13.39,14.96,28.35
156.74,43.2,100,69.0,470.43,0,0,28.08,14.98,43.06
157.84,21.2,100,69.0,470.43,0,0,13.78,14.98,28.76
158.94,24.5,99,69.0,471.07,0,0,15.92,16.3,32.22
160.05,15.8,99,69.0,471.07,0,0,10.27,17.5,27.77
161.15,18.8,99,69.0,471.07,0,0,12.22,17.5,29.72
162.25,28.4,99,68.6,471.07,0,0,18.46,17.55,36.01
163.35,12.8,99,68.6,471.07,0,0,8.32,17.54,25.86
164.46,2.7,0,68.5,471.07,0,0,1.76,10.77,12.52
165.56,10.6,0,68.5,471.07,0,0,6.89,8.2,15.09
166.66,21.6,100,68.7,471.17,0,0,14.04,12.58,26.62
167.77,18.0,100,68.7,471.17,0,0,11.7,14.96,26.66
168.87,14.5,100,68.7,471.17,0,0,9.42,14.94,24.36
169.97,6.0,100,68.7,471.17,0,0,3.9,14.95,18.84
171.08,29.3,98,68.6,467.99,0,0,19.04,15.57,34.62
172.18,18.4,99,68.5,467.99,0,0,11.96,17.43,29.39
173.28,18.3,99,68.5,467.99,0,0,11.89,17.46,29.36
174.39,12.5,99,68.4,467.99,0,0,8.12,17.44,25.57
175.49,11.8,99,68.4,467.99,0,0,7.67,17.46,25.13
176.59,1.3,0,68.4,467.99,0,0,0.85,14.13,14.97
177.69,18.7,0,68.4,467.99,0,0,12.15,9.95,22.1
178.8,17.4,100,68.6,468.19,0,0,11.31,10.23,21.54
179.9,11.3,100,68.5,468.19,0,0,7.35,15.01,22.35
181.01,11.3,100,68.5,468.19,0,0,7.35,14.99,22.34
182.11,12.0,100,68.4,468.19,0,0,7.8,14.97,22.77
183.21,3.3,100,68.5,468.52,0,0,2.15,14.95,17.1
184.32,39.5,99,68.6,469.31,0,0,25.68,17.4,43.07
185.42,35.5,98,68.7,469.31,0,0,23.07,17.44,40.51
186.52,25.0,99,68.6,469.31,0,0,16.25,17.44,33.69
187.62,21.1,99,68.7,469.31,0,0,13.72,17.48,31.2
188.73,19.5,99,68.5,469.31,0,0,12.68,17.45,30.13
189.83,9.5,0,68.6,469.31,0,0,6.17,12.69,18.86
190.93,30.4,0,68.6,469.31,0,0,19.76,10.6,30.36
192.04,21.5,100,68.8,469.36,0,0,13.97,11.18,25.16
193.14,26.9,100,69.0,469.36,0,0,17.48,15.0,32.49
194.24,10.8,100,68.8,469.36,0,0,7.02,14.95,21.97
195.34,13.3,100,68.8,469.36,0,0,8.64,14.95,23.59
196.45,10.6,99,68.7,470.34,0,0,6.89,15.14,22.03
197.55,11.1,99,68.7,470.34,0,0,7.21,17.43,24.65
198.65,8.5,99,68.7,470.34,0,0,5.53,17.44,22.97
199.76,9.5,99,68.6,470.34,0,0,6.17,17.44,23.62
200.86,7.9,98,68.5,470.34,0,0,5.13,17.45,22.59
