Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
8.84,21.1,94,68.0,658.59,0,0,13.72,15.81,29.53
9.95,11.1,93,68.0,658.64,0,0,7.21,29.96,37.17
11.05,12.0,95,67.9,658.64,0,0,7.8,29.95,37.75
13.26,15.9,76,68.0,659.37,0,0,10.34,15.72,26.05
14.36,9.3,93,68.1,659.37,0,0,6.05,29.88,35.92
15.46,17.5,95,67.9,659.37,0,0,11.38,29.99,41.36
16.57,11.9,95,67.9,659.37,0,0,7.74,30.03,37.77
17.67,58.8,95,67.9,659.38,0,0,38.22,29.92,68.14
19.88,8.8,90,67.9,661.19,0,0,5.72,13.88,19.6
20.98,15.4,94,67.9,661.19,0,0,10.01,29.96,39.97
22.08,16.4,93,68.0,661.19,0,0,10.66,29.97,40.63
30.92,26.2,94,68.8,663.02,0,0,17.03,16.08,33.11
32.02,6.8,93,68.4,663.05,0,0,4.42,29.93,34.34
33.12,14.9,94,68.4,663.07,0,0,9.68,29.97,39.66
34.23,11.9,95,68.4,663.08,0,0,7.74,29.99,37.72
35.33,15.4,93,68.4,663.08,0,0,10.01,29.91,39.92
38.64,19.3,93,68.3,664.96,0,0,12.54,28.17,40.72
39.75,10.2,93,68.1,665.01,0,0,6.63,29.84,36.47
40.85,60.0,95,68.2,665.01,0,0,39.0,29.85,68.85
43.06,9.9,95,68.2,666.99,0,0,6.44,18.5,24.94
44.16,15.3,95,68.2,667.0,0,0,9.95,30.01,39.95
45.26,16.3,95,68.1,667.0,0,0,10.6,29.99,40.58
46.37,12.7,94,68.2,667.0,0,0,8.26,29.98,38.23
47.47,14.7,95,68.1,667.0,0,0,9.55,30.0,39.55
48.57,3.5,14,68.1,667.0,0,0,2.28,25.76,28.04
50.78,9.0,98,68.2,669.46,0,0,5.85,12.85,18.7
51.89,8.7,93,68.2,669.46,0,0,5.65,29.81,35.46
53.0,13.3,94,68.1,659.3,0,0,8.64,29.99,38.64
54.1,10.4,95,68.0,659.3,0,0,6.76,29.98,36.74
55.21,2.7,94,68.0,659.3,0,0,1.76,30.02,31.77
56.31,14.8,94,68.0,659.32,0,0,9.62,29.99,39.61
60.72,19.1,93,68.1,661.32,0,0,12.42,22.34,34.76
61.82,15.4,95,68.1,661.32,0,0,10.01,30.0,40.01
62.93,17.2,93,68.1,661.32,0,0,11.18,29.85,41.03
67.34,26.1,95,68.1,663.14,0,0,16.96,14.57,31.54
72.86,12.3,93,68.1,665.07,0,0,8.0,8.67,16.67
80.59,8.6,74,68.2,660.85,0,0,5.59,25.38,30.97
85.03,9.2,69,68.2,660.87,0,0,5.98,6.2,12.18
86.13,20.8,94,69.0,662.62,0,0,13.52,26.22,39.74
91.66,23.2,94,68.6,664.47,0,0,15.08,24.48,39.56
92.76,12.1,93,68.2,664.47,0,0,7.87,29.84,37.71
96.07,14.1,95,68.2,666.32,0,0,9.16,15.26,24.42
97.17,12.5,93,68.1,666.33,0,0,8.12,30.0,38.12
100.48,10.4,75,68.0,668.18,0,0,6.76,11.52,18.28
106.0,26.1,94,68.0,661.67,0,0,16.96,12.82,29.79
110.42,15.4,93,68.0,663.44,0,0,10.01,10.33,20.34
118.15,11.1,93,67.9,665.22,0,0,7.21,26.19,33.41
122.57,11.5,8,67.7,665.24,0,0,7.48,5.9,13.37
123.67,16.9,93,67.8,666.98,0,0,10.98,26.25,37.23
128.08,16.7,58,67.9,660.46,0,0,10.85,7.45,18.3
129.19,0.0,40,67.9,662.21,0,0,0.0,26.16,26.16
134.71,27.5,100,67.8,664.03,0,0,17.88,7.38,25.26
135.82,19.7,94,67.8,664.03,0,0,12.8,30.0,42.8
140.23,7.9,94,67.7,665.82,0,0,5.13,9.42,14.56
141.33,16.4,95,67.8,665.82,0,0,10.66,29.94,40.6
142.44,31.9,94,67.9,665.88,0,0,20.73,29.98,50.72
143.54,12.5,95,67.9,665.88,0,0,8.12,29.98,38.1
146.85,13.8,93,68.5,662.28,0,0,8.97,16.92,25.89
147.95,24.5,92,68.3,662.28,0,0,15.92,29.93,45.86
151.26,13.2,93,68.6,664.05,0,0,8.58,14.53,23.11
152.36,28.8,95,67.9,664.05,0,0,18.72,29.98,48.7
153.47,25.4,93,68.0,664.05,0,0,16.51,29.89,46.41
154.57,14.5,94,68.0,664.05,0,0,9.42,29.98,39.4
155.68,10.6,93,68.0,664.05,0,0,6.89,29.95,36.84
158.99,18.3,95,67.9,665.8,0,0,11.89,19.71,31.6
160.09,15.6,94,67.8,665.8,0,0,10.14,29.9,40.04
161.19,14.3,94,67.8,665.8,0,0,9.3,29.97,39.27
162.3,22.6,95,67.8,665.8,0,0,14.69,29.91,44.6
163.4,13.7,94,67.8,666.3,0,0,8.9,29.88,38.78
164.5,14.5,94,67.7,666.3,0,0,9.42,29.92,39.35
165.6,3.5,95,67.8,666.3,0,0,2.28,29.95,32.22
166.71,100.0,94,67.7,666.29,0,0,65.0,29.93,94.92
167.81,5.7,95,67.6,666.29,0,0,3.71,29.99,33.69
168.91,12.3,94,67.6,666.29,0,0,8.0,29.92,37.91
170.02,11.2,95,67.6,666.29,0,0,7.28,29.96,37.24
171.12,12.5,94,67.7,666.29,0,0,8.12,29.92,38.05
172.22,11.8,98,67.7,666.29,0,0,7.67,17.24,24.91
173.33,11.8,99,67.5,666.29,0,0,7.67,17.2,24.87
174.43,11.7,99,67.5,666.29,0,0,7.6,17.19,24.79
179.95,11.6,98,67.9,663.12,0,0,7.54,11.22,18.76
181.05,27.0,98,67.7,663.12,0,0,17.55,17.04,34.59
