# Ollama Monitoring Session
# Start Time:,2026-01-18 23:52:52
# Duration:,209.8 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,1.6,0,84.8,25.78,0,0,1.04,5.44,6.48
1.12,23.9,0,84.9,25.78,0,0,15.54,5.47,21.01
2.22,23.1,0,79.1,25.78,0,0,15.02,5.78,20.8
3.33,8.1,0,79.0,25.78,0,0,5.27,5.69,10.95
4.43,8.8,0,78.9,25.78,0,0,5.72,5.48,11.2
5.54,1.3,0,79.0,25.78,0,0,0.85,5.45,6.3
6.64,10.0,16,79.0,25.86,0,0,6.5,5.71,12.21
7.75,50.0,93,79.8,25.96,0,0,32.5,27.58,60.08
8.85,25.7,92,79.4,26.02,0,0,16.71,29.8,46.5
9.96,14.7,93,79.7,26.17,0,0,9.55,29.89,39.44
11.07,3.6,0,79.7,26.18,0,0,2.34,14.64,16.98
12.17,14.3,93,79.6,26.39,0,0,9.3,22.97,32.27
13.28,11.0,0,79.6,26.39,0,0,7.15,19.82,26.97
14.38,1.8,0,79.3,26.39,0,0,1.17,15.34,16.51
15.48,7.0,0,79.3,26.39,0,0,4.55,12.21,16.77
16.59,13.8,95,79.2,34.03,0,0,8.97,9.46,18.43
17.69,3.9,3,79.2,34.04,0,0,2.54,24.19,26.73
18.79,4.0,0,79.0,34.04,0,0,2.6,14.67,17.27
19.9,0.9,0,79.0,34.04,0,0,0.59,12.25,12.83
21.01,10.4,63,79.0,34.04,0,0,6.76,7.51,14.27
22.11,21.7,93,79.1,41.68,0,0,14.11,27.66,41.77
23.21,1.2,0,79.1,39.35,0,0,0.78,14.83,15.61
24.32,16.1,0,79.0,39.35,0,0,10.46,12.28,22.74
25.43,3.5,0,79.1,39.35,0,0,2.28,9.99,12.27
26.53,13.2,100,79.1,41.1,0,0,8.58,6.75,15.33
27.63,6.0,93,79.1,41.15,0,0,3.9,28.08,31.98
28.74,3.9,0,79.1,41.15,0,0,2.54,14.74,17.28
29.84,9.2,0,79.1,41.15,0,0,5.98,12.3,18.28
30.95,0.0,0,79.2,41.15,0,0,0.0,10.01,10.01
32.05,39.6,99,79.3,47.04,0,0,25.74,7.79,33.53
33.16,4.4,16,79.3,47.04,0,0,2.86,27.44,30.3
34.26,4.8,0,79.2,47.04,0,0,3.12,15.11,18.23
35.36,0.0,0,79.3,47.04,0,0,0.0,12.31,12.31
36.47,1.3,0,79.3,47.04,0,0,0.85,10.03,10.87
37.57,24.0,94,79.4,48.75,0,0,15.6,15.17,30.77
38.68,5.1,0,79.3,48.77,0,0,3.31,19.62,22.94
39.78,1.4,0,79.0,48.77,0,0,0.91,14.88,15.79
40.89,1.3,0,79.0,48.77,0,0,0.85,9.84,10.68
42.0,37.3,93,79.0,46.84,0,0,24.25,17.03,41.28
43.1,5.5,0,79.0,46.84,0,0,3.58,21.6,25.18
44.2,3.2,0,78.9,46.84,0,0,2.08,15.24,17.32
45.31,1.3,0,79.0,46.84,0,0,0.85,12.35,13.19
46.41,1.4,0,79.0,46.91,0,0,0.91,10.0,10.91
47.51,24.4,92,79.0,48.61,0,0,15.86,13.42,29.28
48.62,6.7,0,79.0,48.61,0,0,4.36,14.85,19.2
49.72,33.3,0,79.1,48.61,0,0,21.64,12.79,34.43
50.83,4.2,0,79.1,48.61,0,0,2.73,9.98,12.71
51.93,15.4,0,79.1,48.63,0,0,10.01,5.81,15.82
53.04,2.6,7,79.1,46.86,0,0,1.69,21.91,23.6
54.14,14.3,0,79.1,46.86,0,0,9.3,15.05,24.35
55.24,5.3,0,79.1,46.86,0,0,3.44,12.37,15.81
56.35,3.9,0,79.2,46.86,0,0,2.54,10.08,12.61
57.45,9.1,0,79.1,46.89,0,0,5.92,5.88,11.79
58.55,14.0,0,79.1,48.59,0,0,9.1,23.24,32.34
59.66,4.4,0,79.1,48.59,0,0,2.86,14.96,17.82
60.76,18.4,0,79.1,48.59,0,0,11.96,12.78,24.73
61.87,6.9,0,79.1,48.59,0,0,4.49,10.19,14.67
62.97,18.5,100,79.1,46.95,0,0,12.03,6.59,18.62
64.07,8.8,0,79.1,46.97,0,0,5.72,21.14,26.86
65.18,4.3,0,79.0,46.97,0,0,2.79,15.76,18.55
66.28,4.9,0,79.0,46.97,0,0,3.19,12.75,15.93
67.4,16.7,0,79.0,46.97,0,0,10.85,8.08,18.94
68.5,28.4,99,79.7,47.0,0,0,18.46,16.53,34.99
