Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
6.64,10.0,16,79.0,25.86,0,0,6.5,5.71,12.21
7.75,50.0,93,79.8,25.96,0,0,32.5,27.58,60.08
8.85,25.7,92,79.4,26.02,0,0,16.71,29.8,46.5
9.96,14.7,93,79.7,26.17,0,0,9.55,29.89,39.44
12.17,14.3,93,79.6,26.39,0,0,9.3,22.97,32.27
16.59,13.8,95,79.2,34.03,0,0,8.97,9.46,18.43
17.69,3.9,3,79.2,34.04,0,0,2.54,24.19,26.73
21.01,10.4,63,79.0,34.04,0,0,6.76,7.51,14.27
22.11,21.7,93,79.1,41.68,0,0,14.11,27.66,41.77
26.53,13.2,100,79.1,41.1,0,0,8.58,6.75,15.33
27.63,6.0,93,79.1,41.15,0,0,3.9,28.08,31.98
32.05,39.6,99,79.3,47.04,0,0,25.74,7.79,33.53
33.16,4.4,16,79.3,47.04,0,0,2.86,27.44,30.3
37.57,24.0,94,79.4,48.75,0,0,15.6,15.17,30.77
42.0,37.3,93,79.0,46.84,0,0,24.25,17.03,41.28
47.51,24.4,92,79.0,48.61,0,0,15.86,13.42,29.28
53.04,2.6,7,79.1,46.86,0,0,1.69,21.91,23.6
62.97,18.5,100,79.1,46.95,0,0,12.03,6.59,18.62
68.5,28.4,99,79.7,47.0,0,0,18.46,16.53,34.99
75.13,11.4,94,78.9,46.99,0,0,7.41,27.95,35.36
80.64,23.1,93,78.9,48.73,0,0,15.02,27.41,42.43
85.06,17.5,100,79.1,48.91,0,0,11.38,13.84,25.22
86.16,10.5,34,79.1,47.07,0,0,6.83,28.01,34.84
90.57,23.3,95,79.0,48.81,0,0,15.15,16.04,31.19
96.1,32.7,94,79.0,47.08,0,0,21.26,13.95,35.21
100.51,10.6,100,79.0,47.15,0,0,6.89,7.24,14.13
101.61,1.7,87,79.0,48.88,0,0,1.1,28.11,29.21
106.03,12.2,100,79.1,48.97,0,0,7.93,7.63,15.56
107.13,1.4,16,79.1,49.03,0,0,0.91,27.5,28.41
111.55,12.1,100,79.0,49.05,0,0,7.87,12.56,20.42
118.17,25.0,100,79.1,49.07,0,0,16.25,13.03,29.28
124.8,10.0,6,79.0,47.14,0,0,6.5,6.04,12.54
125.91,10.4,78,79.0,48.84,0,0,6.76,27.43,34.19
130.33,53.1,100,79.3,48.97,0,0,34.52,11.43,45.95
135.85,11.8,100,78.8,47.24,0,0,7.67,8.14,15.81
136.95,4.1,52,78.8,48.94,0,0,2.66,28.66,31.32
141.37,11.4,94,78.7,48.99,0,0,7.41,7.43,14.84
142.48,22.5,93,78.7,47.24,0,0,14.62,30.04,44.66
145.79,15.6,100,78.8,47.28,0,0,10.14,14.36,24.5
146.89,11.9,92,78.7,49.07,0,0,7.74,29.96,37.7
153.53,28.6,100,78.8,49.14,0,0,18.59,6.43,25.03
154.63,28.4,93,78.8,47.29,0,0,18.46,29.69,48.15
161.26,8.8,100,78.9,47.4,0,0,5.72,12.31,18.03
162.37,29.3,93,78.9,49.15,0,0,19.04,29.88,48.92
166.78,22.2,89,78.9,49.3,0,0,14.43,25.18,39.61
171.2,19.8,55,78.9,49.33,0,0,12.87,7.12,19.99
172.3,21.2,94,79.1,49.35,0,0,13.78,28.03,41.81
173.41,28.2,94,79.2,49.38,0,0,18.33,29.91,48.24
174.51,15.0,92,79.1,49.48,0,0,9.75,29.94,39.69
182.24,15.1,100,79.4,49.64,0,0,9.81,14.16,23.97
183.34,5.6,92,79.3,38.1,0,0,3.64,29.91,33.55
186.66,13.0,100,79.1,38.18,0,0,8.45,15.13,23.58
187.76,16.7,93,79.9,39.83,0,0,10.85,29.88,40.74
