# Ollama Monitoring Session
# Start Time:,2026-01-17 23:53:27
# Duration:,249.7 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,6.5,0,73.2,34.97,0,0,4.23,5.64,9.87
1.12,0.0,0,73.2,34.97,0,0,0.0,5.64,5.64
2.22,6.6,0,73.2,34.97,0,0,4.29,5.65,9.94
3.33,2.5,0,73.2,34.97,0,0,1.62,5.64,7.27
4.43,1.3,0,73.1,34.97,0,0,0.85,5.64,6.49
5.54,1.5,0,73.2,34.97,0,0,0.97,5.65,6.62
6.64,6.2,0,73.3,34.97,0,0,4.03,5.64,9.67
7.74,1.3,0,73.2,34.97,0,0,0.85,5.64,6.48
8.85,1.8,0,73.0,34.97,0,0,1.17,5.65,6.82
9.95,10.7,0,72.5,35.0,0,0,6.96,5.66,12.61
11.06,39.4,82,71.4,36.38,0,0,25.61,18.92,44.53
12.16,11.7,0,71.4,36.38,0,0,7.6,19.69,27.29
13.27,6.1,0,71.4,36.38,0,0,3.96,14.95,18.91
14.37,5.9,0,71.4,36.39,0,0,3.84,12.35,16.18
15.47,21.9,0,71.4,36.39,0,0,14.23,8.2,22.43
16.58,25.3,85,71.3,38.35,0,0,16.45,25.14,41.59
17.7,2.0,0,71.3,38.36,0,0,1.3,13.71,15.01
18.8,4.8,0,71.3,38.36,0,0,3.12,11.56,14.68
19.91,1.4,0,71.3,38.37,0,0,0.91,9.9,10.81
21.01,24.7,0,71.4,38.53,0,0,16.05,8.11,24.16
22.12,9.8,85,71.3,44.7,0,0,6.37,14.63,21.0
23.23,12.1,81,71.4,44.7,0,0,7.87,29.8,37.66
24.34,7.3,0,71.3,44.7,0,0,4.75,16.24,20.98
25.45,2.7,0,71.3,44.7,0,0,1.76,12.91,14.66
26.55,8.7,0,71.4,44.75,0,0,5.65,10.63,16.28
27.65,13.9,85,71.5,46.11,0,0,9.04,15.79,24.82
28.76,17.9,0,71.7,46.13,0,0,11.63,17.18,28.82
29.86,17.0,0,71.9,46.13,0,0,11.05,12.61,23.66
30.97,8.3,0,71.8,46.13,0,0,5.4,10.05,15.44
32.07,9.8,0,71.8,46.27,0,0,6.37,6.69,13.06
33.18,31.2,84,72.3,44.74,0,0,20.28,9.15,29.43
34.28,2.0,0,72.2,44.74,0,0,1.3,22.64,23.94
35.38,31.7,0,72.1,44.74,0,0,20.61,15.14,35.74
36.49,6.7,0,72.0,44.74,0,0,4.36,12.67,17.02
37.59,7.6,0,72.1,44.77,0,0,4.94,7.51,12.45
38.7,22.4,82,71.7,46.12,0,0,14.56,9.64,24.2
39.8,5.5,0,71.6,46.12,0,0,3.58,18.27,21.85
40.9,8.9,0,71.6,46.12,0,0,5.79,15.2,20.99
42.01,1.4,0,71.6,46.12,0,0,0.91,10.44,11.35
43.11,5.3,0,71.5,46.12,0,0,3.44,8.35,11.79
44.22,15.6,0,71.4,46.16,0,0,10.14,8.28,18.42
45.33,30.8,79,71.4,44.75,0,0,20.02,16.4,36.42
46.43,0.0,0,71.3,44.75,0,0,0.0,16.3,16.3
47.54,1.4,0,71.3,44.75,0,0,0.91,12.59,13.5
48.64,0.0,0,71.4,44.75,0,0,0.0,10.46,10.46
49.75,4.3,0,71.3,44.75,0,0,2.79,7.69,10.48
50.85,8.8,0,71.3,44.81,0,0,5.72,6.5,12.22
51.96,26.0,84,71.3,46.16,0,0,16.9,10.75,27.65
53.06,5.1,0,71.3,46.2,0,0,3.31,22.17,25.48
