Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
11.06,39.4,82,71.4,36.38,0,0,25.61,18.92,44.53
16.58,25.3,85,71.3,38.35,0,0,16.45,25.14,41.59
22.12,9.8,85,71.3,44.7,0,0,6.37,14.63,21.0
23.23,12.1,81,71.4,44.7,0,0,7.87,29.8,37.66
27.65,13.9,85,71.5,46.11,0,0,9.04,15.79,24.82
33.18,31.2,84,72.3,44.74,0,0,20.28,9.15,29.43
38.7,22.4,82,71.7,46.12,0,0,14.56,9.64,24.2
45.33,30.8,79,71.4,44.75,0,0,20.02,16.4,36.42
51.96,26.0,84,71.3,46.16,0,0,16.9,10.75,27.65
58.58,15.7,97,71.3,46.33,0,0,10.21,6.51,16.71
79.56,12.3,100,70.8,44.95,0,0,8.0,7.01,15.0
86.19,5.0,71,71.1,44.93,0,0,3.25,8.84,12.09
92.81,41.8,4,71.9,44.97,0,0,27.17,5.64,32.81
93.92,31.4,86,71.8,46.32,0,0,20.41,25.5,45.91
95.02,2.7,21,71.7,46.36,0,0,1.76,27.5,29.25
98.34,62.0,86,71.6,45.03,0,0,40.3,12.62,52.92
103.86,9.2,96,70.7,46.41,0,0,5.98,9.3,15.28
137.02,7.8,100,70.7,45.06,0,0,5.07,6.31,11.38
142.54,26.8,86,70.6,46.45,0,0,17.42,9.47,26.89
143.64,31.5,86,70.6,46.45,0,0,20.48,29.91,50.39
148.06,6.1,16,69.9,45.07,0,0,3.96,9.64,13.6
155.78,9.9,85,70.3,46.48,0,0,6.44,7.83,14.26
156.89,31.3,86,70.4,46.48,0,0,20.34,29.71,50.06
162.41,9.4,98,69.7,46.68,0,0,6.11,6.35,12.46
163.51,30.7,83,69.8,46.69,0,0,19.95,29.17,49.12
164.62,26.3,85,69.8,46.71,0,0,17.1,29.82,46.92
169.04,17.2,99,69.9,46.8,0,0,11.18,24.18,35.36
174.56,22.1,99,69.9,46.99,0,0,14.37,16.09,30.45
181.18,17.6,100,69.9,47.03,0,0,11.44,6.86,18.3
182.29,30.1,97,69.8,47.03,0,0,19.56,29.35,48.92
192.23,20.8,100,69.8,47.06,0,0,13.52,7.73,21.25
193.33,32.1,76,69.7,43.81,0,0,20.87,29.73,50.6
194.43,35.6,78,69.7,43.81,0,0,23.14,29.93,53.07
195.55,0.0,24,69.7,43.81,0,0,0.0,27.8,27.8
199.96,13.2,99,69.8,43.93,0,0,8.58,25.14,33.72
201.07,31.9,76,69.6,45.34,0,0,20.73,29.49,50.22
205.49,28.6,99,69.6,45.41,0,0,18.59,18.66,37.25
206.59,45.8,80,69.6,45.32,0,0,29.77,29.8,59.57
207.69,17.8,74,69.5,45.32,0,0,11.57,29.81,41.38
212.11,10.6,82,69.8,45.5,0,0,6.89,7.26,14.15
213.22,45.0,96,70.4,46.88,0,0,29.25,29.38,58.63
219.85,13.2,99,70.3,47.07,0,0,8.58,9.57,18.15
