Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
7.74,22.0,54,66.7,12.65,0,0,14.3,18.28,32.58
8.85,28.6,39,66.8,12.65,0,0,18.59,14.9,33.49
9.96,19.8,36,66.8,12.65,0,0,12.87,15.27,28.14
11.07,36.7,35,66.9,12.65,0,0,23.86,15.92,39.78
12.18,37.7,32,66.9,12.65,0,0,24.5,17.98,42.49
14.39,32.1,69,66.9,12.65,0,0,20.87,16.95,37.82
15.49,29.1,45,66.8,12.65,0,0,18.92,25.42,44.33
16.6,21.6,31,66.8,12.65,0,0,14.04,24.8,38.84
17.7,6.6,39,66.8,12.65,0,0,4.29,25.43,29.72
18.8,36.2,41,67.2,12.65,0,0,23.53,24.75,48.28
19.9,26.0,35,67.0,12.65,0,0,16.9,25.2,42.1
21.01,23.0,38,67.1,12.65,0,0,14.95,24.79,39.74
23.21,38.3,25,67.8,12.65,0,0,24.89,20.72,45.62
24.32,50.0,32,67.7,12.65,0,0,32.5,24.8,57.3
25.42,13.5,35,67.7,12.65,0,0,8.78,25.36,34.14
26.53,57.6,40,67.8,12.65,0,0,37.44,25.42,62.86
27.63,24.0,35,67.8,12.65,0,0,15.6,25.54,41.13
28.73,26.2,36,67.5,12.65,0,0,17.03,25.23,42.26
29.84,100.0,49,67.4,12.65,0,0,65.0,18.05,83.05
30.94,100.0,42,67.4,12.65,0,0,65.0,14.59,79.59
32.05,22.5,56,67.1,12.65,0,0,14.62,14.48,29.1
34.26,23.0,95,67.2,12.65,0,0,14.95,10.17,25.12
35.36,24.7,44,67.2,12.65,0,0,16.05,15.6,31.65
36.47,19.7,74,67.1,12.65,0,0,12.8,14.67,27.48
37.58,19.8,71,67.1,12.65,0,0,12.87,14.37,27.24
38.68,9.3,52,67.2,12.65,0,0,6.05,14.46,20.5
39.79,14.1,53,67.2,12.65,0,0,9.16,14.5,23.66
40.92,30.3,70,67.1,12.65,0,0,19.7,13.95,33.64
42.02,11.8,59,67.1,12.65,0,0,7.67,14.4,22.07
44.23,13.6,14,67.0,12.65,0,0,8.84,8.57,17.41
45.33,29.7,43,67.1,12.65,0,0,19.3,14.9,34.21
46.43,16.8,43,67.1,12.65,0,0,10.92,14.79,25.7
47.54,15.2,63,67.2,12.65,0,0,9.88,14.58,24.46
48.65,16.3,64,66.9,12.65,0,0,10.6,14.33,24.93
49.78,20.3,65,66.9,12.65,0,0,13.2,14.55,27.75
50.92,27.4,59,66.9,12.65,0,0,17.81,14.37,32.18
52.03,36.6,49,67.0,12.65,0,0,23.79,14.53,38.32
53.13,17.6,46,67.1,12.65,0,0,11.44,14.78,26.22
54.24,37.5,63,67.2,12.65,0,0,24.38,14.56,38.93
56.45,24.3,99,67.6,12.65,0,0,15.79,11.18,26.97
57.55,50.0,45,67.7,12.65,0,0,32.5,14.55,47.05
58.65,38.5,65,67.8,12.65,0,0,25.03,14.48,39.5
59.76,62.5,54,67.9,12.65,0,0,40.62,14.02,54.64
60.87,36.9,36,68.0,12.65,0,0,23.98,14.46,38.45
61.98,36.0,53,68.1,12.65,0,0,23.4,14.93,38.33
63.08,33.7,65,68.0,12.65,0,0,21.91,14.47,36.38
64.19,36.4,42,68.0,12.65,0,0,23.66,14.11,37.77
65.29,42.1,69,68.1,12.65,0,0,27.37,14.64,42.01
68.6,43.3,31,68.5,12.65,0,0,28.14,11.44,39.59
69.71,18.1,55,68.6,12.65,0,0,11.77,15.21,26.97
70.81,51.9,42,68.6,12.65,0,0,33.73,14.32,48.05
71.92,33.9,48,68.7,12.65,0,0,22.03,14.73,36.77
73.03,26.2,39,68.7,12.65,0,0,17.03,14.11,31.14
74.15,29.5,43,68.8,12.65,0,0,19.18,14.62,33.8
75.25,66.7,55,68.8,12.65,0,0,43.36,14.7,58.06
76.36,69.7,58,68.9,12.65,0,0,45.31,14.5,59.8
77.49,28.2,67,68.8,12.65,0,0,18.33,14.18,32.51
80.8,29.2,81,69.0,12.65,0,0,18.98,10.89,29.87
81.91,32.8,67,69.2,12.65,0,0,21.32,15.25,36.57
83.01,35.4,57,69.7,12.65,0,0,23.01,14.12,37.13
84.12,36.2,69,69.8,12.65,0,0,23.53,13.87,37.4
85.23,20.0,67,69.8,12.65,0,0,13.0,14.82,27.82
86.35,28.7,65,69.8,12.65,0,0,18.65,13.93,32.59
87.46,25.3,66,69.8,12.65,0,0,16.45,14.77,31.21
88.56,34.3,62,69.9,12.65,0,0,22.29,14.48,36.78
89.67,21.6,41,69.6,12.65,0,0,14.04,14.46,28.5
90.77,27.4,39,69.4,12.65,0,0,17.81,14.84,32.65
91.87,28.4,41,69.4,12.65,0,0,18.46,14.73,33.19
92.98,7.8,57,69.4,12.65,0,0,5.07,14.38,19.45
95.18,34.8,57,69.5,12.65,0,0,22.62,15.13,37.75
96.29,30.0,57,69.6,12.65,0,0,19.5,14.23,33.73
97.39,25.9,66,69.6,12.65,0,0,16.84,14.71,31.55
98.49,100.0,46,69.6,12.65,0,0,65.0,14.39,79.39
99.6,22.8,52,69.6,12.65,0,0,14.82,14.35,29.17
100.72,31.4,46,69.6,12.65,0,0,20.41,14.63,35.04
101.83,20.0,65,69.8,12.65,0,0,13.0,14.1,27.1
102.94,43.7,52,69.8,12.65,0,0,28.41,14.44,42.85
106.25,33.3,100,69.7,12.65,0,0,21.64,10.46,32.1
107.36,47.6,60,69.8,12.65,0,0,30.94,14.96,45.9
108.46,39.7,54,69.8,12.65,0,0,25.8,14.66,40.47
109.57,31.7,38,69.8,12.65,0,0,20.61,14.65,35.26
110.68,29.6,42,69.8,12.65,0,0,19.24,14.77,34.01
111.79,34.3,67,69.9,12.65,0,0,22.29,14.8,37.09
112.9,37.3,54,69.9,12.65,0,0,24.25,14.65,38.89
116.2,34.9,40,69.7,12.65,0,0,22.68,14.71,37.4
117.31,27.0,59,69.7,12.65,0,0,17.55,14.66,32.21
118.41,34.5,61,69.7,12.65,0,0,22.42,14.34,36.76
119.52,64.4,42,69.7,12.65,0,0,41.86,14.53,56.39
120.62,26.0,53,69.7,12.65,0,0,16.9,14.32,31.22
121.72,39.2,54,69.7,12.65,0,0,25.48,14.35,39.83
122.83,34.2,40,69.7,12.65,0,0,22.23,14.62,36.85
123.93,24.7,45,69.7,12.65,0,0,16.05,14.38,30.43
126.14,19.0,53,69.7,12.65,0,0,12.35,9.45,21.8
127.24,26.0,50,69.7,12.65,0,0,16.9,15.54,32.44
128.34,12.0,68,69.6,12.65,0,0,7.8,14.42,22.22
129.44,30.0,35,69.7,12.65,0,0,19.5,14.31,33.81
130.55,34.2,57,69.7,12.65,0,0,22.23,14.3,36.53
131.66,16.9,50,69.4,12.65,0,0,10.98,14.36,25.35
132.77,28.7,66,69.6,12.65,0,0,18.65,14.22,32.87
133.87,26.6,35,69.6,12.65,0,0,17.29,14.63,31.92
134.97,31.1,47,69.6,12.65,0,0,20.21,14.72,34.93
137.18,34.7,97,69.6,12.65,0,0,22.56,11.01,33.56
138.28,31.7,56,69.6,12.65,0,0,20.61,15.31,35.92
139.39,40.3,58,69.5,12.65,0,0,26.19,14.36,40.56
140.49,25.4,39,69.6,12.65,0,0,16.51,14.66,31.17
141.6,19.8,47,69.7,12.65,0,0,12.87,14.2,27.07
142.7,29.1,57,70.2,12.65,0,0,18.92,14.17,33.08
143.8,25.0,40,70.1,12.65,0,0,16.25,14.15,30.4
144.91,25.4,58,70.1,12.65,0,0,16.51,14.78,31.29
146.02,1.4,27,70.0,12.65,0,0,0.91,13.64,14.55
149.34,21.5,95,69.3,12.65,0,0,13.97,9.73,23.7
150.44,37.7,55,69.3,12.65,0,0,24.5,15.55,40.05
151.55,36.2,63,69.3,12.65,0,0,23.53,14.36,37.89
152.65,71.4,57,69.1,12.65,0,0,46.41,14.31,60.72
153.76,28.9,56,69.2,12.65,0,0,18.79,14.55,33.34
154.86,25.6,50,69.2,12.65,0,0,16.64,14.32,30.96
155.96,20.7,44,69.1,12.65,0,0,13.46,13.95,27.4
157.07,22.5,35,69.1,12.65,0,0,14.62,14.21,28.84
