Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB)
0.0,9.3,0,71.4,27.6328125,0
1.12,23.8,0,71.2,27.6328125,0
2.75,0.0,0,71.2,27.6328125,0
4.39,14.1,0,71.2,27.6328125,0
6.02,21.1,0,71.0,68.33984375,0
7.18,13.8,0,70.9,64.31640625,0
8.28,40.0,24,73.7,64.328125,0
9.39,2.6,77,75.6,64.4921875,0
10.49,3.8,0,75.6,64.4921875,0
11.6,8.4,0,75.6,64.4921875,0
12.7,0.0,0,75.6,64.4921875,0
13.81,16.9,0,75.9,123.59375,0
14.91,17.3,84,76.0,118.078125,0
16.01,8.0,0,76.0,118.078125,0
17.12,5.6,0,75.7,118.078125,0
18.23,0.0,0,75.7,118.078125,0
19.33,15.5,94,76.0,151.94921875,0
20.43,18.1,83,75.9,151.94921875,0
21.54,15.8,81,76.0,151.94921875,0
22.64,3.8,0,76.0,151.94921875,0
23.74,9.0,0,76.0,151.94921875,0
24.85,6.6,0,76.0,151.94921875,0
25.95,10.3,0,75.9,143.125,0
27.06,31.8,82,75.9,143.125,0
28.16,10.5,0,75.9,143.125,0
29.26,7.1,0,75.9,143.125,0
30.36,2.7,0,75.9,143.125,0
31.47,17.2,100,75.9,146.21484375,0
32.57,20.4,84,75.9,146.21484375,0
33.68,30.2,82,75.9,146.2421875,0
34.78,2.4,6,75.9,146.25390625,0
35.89,4.3,0,75.9,146.25390625,0
36.99,5.1,0,75.9,146.2890625,0
38.09,17.6,0,76.0,150.07421875,0
39.2,12.0,82,76.0,150.07421875,0
40.3,11.8,82,76.0,150.078125,0
41.41,24.7,82,76.0,150.078125,0
42.51,18.0,82,76.0,150.078125,0
43.61,9.9,0,76.0,150.078125,0
44.72,7.2,0,76.0,150.078125,0
45.83,6.2,0,76.0,150.078125,0
46.93,9.9,0,76.0,150.078125,0
48.04,3.5,0,76.0,150.078125,0
49.14,6.1,0,76.0,150.078125,0
50.24,3.9,0,75.9,150.078125,0
51.35,0.0,0,75.9,150.078125,0
52.45,1.4,0,75.9,150.078125,0
53.56,11.5,0,75.9,147.98828125,0
55.14,17.5,81,76.0,142.0859375,0
56.25,4.2,0,75.9,142.0859375,0
57.35,0.0,0,75.9,142.0859375,0
58.45,3.8,0,75.9,142.0859375,0
59.56,2.5,0,75.9,142.0859375,0
