# Ollama Monitoring Session
# Start Time:,2026-01-20 10:15:33
# Duration:,599.3 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,5.4,0,73.6,957.49,0,0,3.51,5.7,9.21
1.11,10.3,0,73.6,957.49,0,0,6.7,5.71,12.4
2.22,9.1,0,73.7,957.49,0,0,5.92,5.71,11.63
3.32,4.7,0,73.7,957.49,0,0,3.06,5.7,8.75
4.42,6.3,0,73.8,957.49,0,0,4.09,5.68,9.78
5.53,4.9,0,73.6,957.49,0,0,3.19,5.67,8.85
6.63,31.7,56,73.6,960.01,0,0,20.61,10.2,30.81
7.74,6.7,56,73.7,960.06,0,0,4.36,28.1,32.46
8.84,8.5,58,73.7,960.01,0,0,5.53,28.55,34.08
9.94,23.6,50,73.8,960.01,0,0,15.34,28.42,43.76
11.05,18.2,56,73.7,960.05,0,0,11.83,28.05,39.88
12.15,4.8,0,73.7,960.01,0,0,3.12,22.35,25.47
13.26,18.6,58,73.7,960.09,0,0,12.09,17.44,29.53
14.36,8.9,56,73.7,960.09,0,0,5.79,27.84,33.62
15.46,24.1,56,73.7,960.09,0,0,15.67,28.44,44.11
16.57,33.3,57,73.7,960.12,0,0,21.64,28.7,50.35
17.68,32.1,57,73.7,960.17,0,0,20.87,28.12,48.99
18.78,25.8,59,73.6,960.12,0,0,16.77,28.89,45.66
19.88,23.9,59,73.6,960.12,0,0,15.54,27.92,43.45
20.99,30.9,55,73.6,960.13,0,0,20.09,12.41,32.5
22.09,34.7,78,73.6,960.13,0,0,22.56,16.41,38.97
23.19,18.3,74,73.6,960.18,0,0,11.89,15.28,27.18
24.3,1.2,0,73.4,960.14,0,0,0.78,9.94,10.71
25.4,17.9,33,73.4,960.22,0,0,11.63,8.77,20.4
26.51,16.8,69,73.7,960.23,0,0,10.92,15.32,26.24
27.62,28.4,80,74.3,960.23,0,0,18.46,15.6,34.06
28.73,35.6,70,74.4,960.27,0,0,23.14,15.55,38.69
29.83,36.5,78,74.2,960.34,0,0,23.72,15.53,39.25
30.94,45.8,58,74.2,960.34,0,0,29.77,15.4,45.17
32.04,22.6,72,74.2,960.34,0,0,14.69,15.49,30.18
33.16,17.7,64,74.2,960.38,0,0,11.5,15.28,26.78
34.26,22.1,81,73.9,960.34,0,0,14.37,15.47,29.84
35.37,22.4,76,73.5,960.37,0,0,14.56,15.53,30.09
36.47,19.5,64,73.5,960.37,0,0,12.68,15.19,27.86
37.58,15.0,76,73.5,960.42,0,0,9.75,15.71,25.46
38.68,100.0,73,73.5,960.37,0,0,65.0,15.19,80.19
39.78,27.0,68,73.5,960.37,0,0,17.55,15.77,33.32
40.89,12.5,78,73.5,960.37,0,0,8.12,15.77,23.89
41.99,100.0,67,73.5,960.42,0,0,65.0,15.28,80.28
43.09,28.6,70,73.5,960.37,0,0,18.59,15.41,34.0
44.2,30.0,69,73.5,960.38,0,0,19.5,15.47,34.98
45.3,27.3,71,73.5,960.42,0,0,17.75,15.34,33.08
46.4,100.0,69,73.5,960.38,0,0,65.0,15.44,80.44
47.51,15.6,71,73.5,960.38,0,0,10.14,15.61,25.75
48.61,20.0,75,73.5,960.42,0,0,13.0,15.06,28.06
49.73,1.1,75,73.5,960.38,0,0,0.72,15.68,16.39
50.83,3.8,0,73.5,960.38,0,0,2.47,11.07,13.54
51.94,10.1,100,73.7,960.51,0,0,6.56,12.05,18.62
53.04,21.1,68,73.7,961.14,0,0,13.72,15.39,29.11
54.16,10.0,58,73.7,961.1,0,0,6.5,15.38,21.88
55.26,47.2,68,73.7,961.1,0,0,30.68,15.47,46.15
56.37,19.8,76,73.7,961.1,0,0,12.87,15.57,28.44
57.47,15.9,64,73.7,961.1,0,0,10.34,15.17,25.51
58.58,35.9,70,73.7,961.1,0,0,23.34,15.36,38.69
59.68,13.5,65,73.5,961.1,0,0,8.78,15.22,24.0
60.78,15.4,77,73.5,961.11,0,0,10.01,15.57,25.58
61.89,26.1,75,73.6,961.11,0,0,16.96,15.53,32.49
62.99,6.4,79,73.5,961.15,0,0,4.16,15.59,19.75
64.1,20.4,71,73.5,961.11,0,0,13.26,15.46,28.72
65.2,19.4,62,73.5,961.11,0,0,12.61,14.97,27.58
66.3,0.0,0,73.5,961.11,0,0,0.0,9.34,9.34
67.41,30.0,0,73.5,961.24,0,0,19.5,8.33,27.83
68.51,22.7,69,73.5,961.47,0,0,14.75,13.27,28.03
69.62,51.2,68,73.6,961.52,0,0,33.28,15.18,48.46
70.72,21.1,72,73.6,961.62,0,0,13.72,15.42,29.13
71.83,28.1,69,73.7,961.6,0,0,18.27,15.45,33.72
72.93,14.0,78,73.7,961.6,0,0,9.1,15.15,24.25
74.03,18.1,75,73.6,961.6,0,0,11.77,15.52,27.28
75.14,16.7,76,73.6,961.6,0,0,10.85,15.67,26.52
76.24,14.7,70,73.6,961.62,0,0,9.55,15.39,24.95
77.36,8.6,75,73.6,961.66,0,0,5.59,15.56,21.15
78.47,14.7,71,73.7,961.62,0,0,9.55,15.54,25.09
79.59,18.4,55,73.6,961.62,0,0,11.96,15.38,27.34
80.7,22.6,64,73.6,961.67,0,0,14.69,15.46,30.15
81.81,16.7,72,73.6,961.63,0,0,10.85,15.13,25.99
82.91,17.1,71,73.6,961.63,0,0,11.12,15.21,26.33
84.02,15.7,63,73.4,961.65,0,0,10.21,15.62,25.82
85.13,9.5,70,73.3,961.65,0,0,6.17,15.44,21.61
86.23,23.6,79,73.3,961.65,0,0,15.34,15.62,30.96
87.33,25.0,77,73.3,961.65,0,0,16.25,15.62,31.88
88.43,11.4,61,74.0,961.69,0,0,7.41,15.18,22.59
89.54,17.3,67,73.9,961.65,0,0,11.25,15.06,26.31
90.64,42.1,64,74.0,961.69,0,0,27.37,14.98,42.34
91.74,14.3,73,74.0,961.65,0,0,9.3,15.19,24.48
92.84,18.2,74,74.0,961.65,0,0,11.83,14.98,26.81
93.95,23.7,78,73.3,961.69,0,0,15.4,15.49,30.89
95.08,100.0,53,73.3,961.65,0,0,65.0,14.83,79.83
96.18,24.1,60,73.3,961.65,0,0,15.67,15.29,30.96
97.28,17.6,70,73.3,961.65,0,0,11.44,15.54,26.98
98.39,18.7,76,73.3,961.84,0,0,12.15,15.63,27.79
99.52,19.0,73,73.3,961.8,0,0,12.35,15.46,27.81
100.63,29.7,77,73.3,961.84,0,0,19.3,15.32,34.62
101.73,15.2,55,73.3,961.8,0,0,9.88,15.14,25.02
102.84,23.5,74,73.3,961.87,0,0,15.27,15.46,30.74
103.94,19.5,69,73.3,961.86,0,0,12.68,15.41,28.09
105.07,1.3,0,73.3,961.86,0,0,0.85,9.99,10.83
106.17,0.9,0,73.3,961.86,0,0,0.59,8.35,8.94
107.28,14.4,66,73.6,962.0,0,0,9.36,13.78,23.14
108.38,7.8,69,73.6,962.0,0,0,5.07,15.24,20.31
109.49,25.5,70,73.6,962.0,0,0,16.57,15.39,31.96
110.59,29.9,66,73.5,962.0,0,0,19.43,15.49,34.93
111.73,16.5,65,73.6,962.0,0,0,10.72,15.17,25.9
112.83,19.7,60,73.7,962.0,0,0,12.8,15.48,28.28
113.94,16.7,75,73.7,962.0,0,0,10.85,15.56,26.42
115.04,26.3,66,73.6,962.0,0,0,17.1,15.74,32.83
116.15,16.9,76,73.5,962.09,0,0,10.98,15.74,26.72
117.27,13.9,69,73.5,962.05,0,0,9.04,15.34,24.37
118.38,100.0,76,73.5,962.1,0,0,65.0,15.61,80.61
119.48,16.2,75,73.5,962.05,0,0,10.53,15.55,26.08
120.59,100.0,76,73.5,962.05,0,0,65.0,15.79,80.79
121.69,19.7,64,73.4,962.05,0,0,12.8,15.41,28.21
122.79,18.3,76,73.4,962.05,0,0,11.89,15.22,27.11
123.9,15.8,76,73.4,962.05,0,0,10.27,15.61,25.88
125.0,27.6,71,73.4,962.05,0,0,17.94,15.25,33.19
126.1,100.0,76,73.4,962.05,0,0,65.0,15.38,80.38
127.21,19.3,53,73.4,962.05,0,0,12.54,14.97,27.51
128.32,25.6,73,73.4,962.09,0,0,16.64,15.66,32.3
129.42,19.4,76,73.4,962.09,0,0,12.61,15.18,27.79
130.52,22.6,55,73.4,962.05,0,0,14.69,14.99,29.68
131.62,20.0,62,73.4,962.05,0,0,13.0,15.18,28.18
132.73,24.6,52,73.2,962.05,0,0,15.99,15.04,31.03
133.83,1.4,76,73.1,962.05,0,0,0.91,15.34,16.25
134.95,13.0,76,73.1,962.05,0,0,8.45,15.31,23.76
136.05,56.2,69,73.1,962.05,0,0,36.53,15.45,51.98
137.15,100.0,62,73.1,962.05,0,0,65.0,15.02,80.02
138.26,13.2,65,73.1,962.05,0,0,8.58,15.48,24.06
139.36,100.0,57,73.1,962.04,0,0,65.0,15.52,80.52
140.46,14.7,64,73.1,962.04,0,0,9.55,15.4,24.96
141.56,45.9,75,73.1,962.08,0,0,29.83,15.37,45.2
142.68,55.2,72,73.1,962.04,0,0,35.88,15.58,51.46
143.78,2.2,74,73.1,962.04,0,0,1.43,15.45,16.88
144.9,20.9,76,73.1,962.04,0,0,13.58,15.42,29.0
146.01,20.7,57,73.1,962.08,0,0,13.46,15.14,28.59
147.13,43.5,65,73.4,962.04,0,0,28.27,15.37,43.65
148.24,30.6,67,73.9,962.04,0,0,19.89,15.17,35.06
149.34,15.0,67,73.7,962.04,0,0,9.75,15.49,25.24
150.44,12.5,61,73.7,962.04,0,0,8.12,15.53,23.66
151.57,0.0,0,73.7,962.04,0,0,0.0,12.37,12.37
152.68,1.4,0,73.7,962.04,0,0,0.91,9.53,10.44
153.78,35.0,87,73.3,962.14,0,0,22.75,9.01,31.76
154.89,27.9,63,73.2,962.15,0,0,18.13,15.55,33.68
156.0,23.1,73,73.3,962.15,0,0,15.02,15.41,30.43
157.1,16.7,73,73.3,962.2,0,0,10.85,15.22,26.07
158.2,17.5,70,73.2,962.15,0,0,11.38,15.29,26.67
159.31,36.4,70,73.2,962.19,0,0,23.66,15.16,38.82
160.41,12.5,68,73.2,962.15,0,0,8.12,15.38,23.5
161.51,22.4,61,73.2,962.19,0,0,14.56,15.5,30.06
162.62,17.7,69,73.2,962.15,0,0,11.5,15.01,26.52
163.72,23.0,70,73.1,962.15,0,0,14.95,15.4,30.35
164.83,20.0,68,73.1,962.15,0,0,13.0,15.19,28.19
165.93,100.0,62,73.1,962.15,0,0,65.0,15.14,80.14
167.03,15.2,62,73.1,962.15,0,0,9.88,15.22,25.1
168.14,27.8,55,73.1,962.15,0,0,18.07,14.95,33.02
169.24,21.1,60,73.1,962.15,0,0,13.72,15.28,29.0
170.35,24.7,73,73.1,962.15,0,0,16.05,15.18,31.24
171.46,21.9,62,73.1,962.15,0,0,14.23,15.13,29.37
172.56,22.2,61,73.0,962.15,0,0,14.43,15.23,29.66
173.67,16.0,69,73.0,962.19,0,0,10.4,15.31,25.71
174.78,19.3,75,73.0,962.15,0,0,12.54,15.29,27.83
175.88,19.0,63,73.1,962.19,0,0,12.35,15.09,27.44
176.98,16.5,65,73.1,962.2,0,0,10.72,15.25,25.98
178.09,100.0,60,73.1,962.2,0,0,65.0,15.1,80.1
179.2,100.0,68,73.1,962.15,0,0,65.0,15.28,80.28
180.31,10.4,69,73.1,962.15,0,0,6.76,15.25,22.01
181.42,35.0,72,73.3,962.15,0,0,22.75,15.4,38.15
182.52,22.2,63,73.3,962.2,0,0,14.43,15.24,29.67
183.63,29.3,65,73.3,962.15,0,0,19.04,15.3,34.34
184.74,87.5,64,73.3,962.15,0,0,56.88,15.35,72.22
185.84,54.1,71,73.5,962.25,0,0,35.16,15.33,50.5
186.95,37.2,66,73.6,962.25,0,0,24.18,15.24,39.42
188.05,17.9,71,73.4,962.29,0,0,11.63,15.32,26.96
189.16,23.3,65,73.4,962.25,0,0,15.15,15.24,30.39
190.26,15.4,65,73.4,962.25,0,0,10.01,15.42,25.43
191.36,16.0,73,73.4,962.29,0,0,10.4,15.33,25.73
192.48,22.9,60,73.4,962.25,0,0,14.88,15.16,30.04
193.58,11.5,63,73.4,962.25,0,0,7.48,15.3,22.77
194.68,24.6,73,73.4,962.25,0,0,15.99,15.36,31.35
195.79,18.4,72,73.4,962.25,0,0,11.96,15.13,27.09
196.89,14.3,68,73.3,962.3,0,0,9.3,15.24,24.54
198.0,2.2,73,73.4,962.25,0,0,1.43,15.34,16.77
199.1,100.0,65,73.4,962.25,0,0,65.0,15.13,80.13
200.2,20.3,71,73.4,962.25,0,0,13.2,15.37,28.56
201.31,30.0,65,73.4,962.25,0,0,19.5,15.16,34.66
202.42,37.1,59,73.4,962.25,0,0,24.11,15.23,39.34
203.52,16.5,73,73.3,962.3,0,0,10.72,15.38,26.1
204.62,18.2,65,73.3,962.25,0,0,11.83,15.17,27.0
205.73,36.4,67,73.3,962.25,0,0,23.66,15.3,38.97
206.83,1.2,0,73.3,962.25,0,0,0.78,10.23,11.01
207.94,4.8,0,74.0,962.25,0,0,3.12,8.49,11.61
209.04,9.2,100,74.1,962.75,0,0,5.98,13.6,19.58
210.15,10.7,98,74.0,962.75,0,0,6.96,14.94,21.9
211.25,21.4,67,74.0,962.75,0,0,13.91,15.4,29.31
212.36,23.3,72,74.0,962.75,0,0,15.15,15.36,30.51
213.46,18.7,68,74.0,962.75,0,0,12.15,15.15,27.31
214.57,19.1,67,73.5,962.75,0,0,12.42,15.35,27.76
215.69,21.9,68,73.5,962.75,0,0,14.23,15.36,29.6
216.79,29.3,70,73.3,962.8,0,0,19.04,15.19,34.23
217.91,18.4,68,73.3,962.75,0,0,11.96,15.47,27.43
219.01,19.0,62,73.3,962.75,0,0,12.35,15.14,27.49
220.12,23.1,64,73.3,962.8,0,0,15.02,14.98,30.0
221.25,26.9,72,73.3,962.75,0,0,17.48,15.35,32.84
222.35,17.1,71,73.3,962.75,0,0,11.12,15.4,26.52
223.45,100.0,63,73.3,962.8,0,0,65.0,15.35,80.35
224.56,36.0,73,73.2,962.75,0,0,23.4,15.32,38.72
225.67,17.9,68,73.1,962.75,0,0,11.63,15.2,26.83
226.77,21.7,71,73.1,962.75,0,0,14.11,15.4,29.51
227.87,19.0,69,73.1,962.75,0,0,12.35,15.4,27.75
228.98,17.1,71,73.1,962.75,0,0,11.12,15.2,26.31
230.09,14.6,61,73.1,962.78,0,0,9.49,15.16,24.66
231.19,77.8,71,73.1,962.75,0,0,50.57,15.48,66.05
232.29,16.2,59,73.1,962.75,0,0,10.53,14.82,25.35
233.4,14.3,61,73.1,962.75,0,0,9.3,15.39,24.69
