Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
15.47,24.2,88,73.9,31.21,0,0,15.73,8.26,23.99
16.57,17.5,89,73.9,31.21,0,0,11.38,29.98,41.36
17.68,6.3,23,74.5,31.21,0,0,4.09,27.59,31.69
19.89,14.6,95,74.3,38.83,0,0,9.49,13.24,22.73
20.99,28.6,91,74.5,38.84,0,0,18.59,29.88,48.47
22.1,26.7,91,73.7,38.91,0,0,17.36,29.96,47.31
27.62,38.1,90,72.9,36.55,0,0,24.77,12.48,37.25
28.72,36.5,90,72.8,36.57,0,0,23.72,29.96,53.68
29.82,4.1,10,72.8,36.58,0,0,2.66,25.53,28.2
33.14,46.2,90,73.0,38.95,0,0,30.03,16.61,46.64
34.24,20.7,87,73.0,38.95,0,0,13.46,28.54,41.99
38.65,29.3,89,73.0,36.7,0,0,19.04,17.03,36.08
43.07,13.6,95,73.0,39.05,0,0,8.84,6.98,15.82
44.17,28.8,90,73.0,39.05,0,0,18.72,29.77,48.5
48.59,20.0,90,73.0,44.35,0,0,13.0,10.72,23.72
49.69,16.7,87,73.0,44.36,0,0,10.85,29.97,40.82
50.8,21.7,91,73.1,44.36,0,0,14.11,29.98,44.09
51.9,13.7,91,73.1,44.36,0,0,8.9,29.96,38.87
55.21,25.0,89,73.0,46.8,0,0,16.25,27.66,43.91
56.31,17.7,91,72.9,46.88,0,0,11.5,29.8,41.31
57.42,6.5,16,72.9,46.95,0,0,4.23,25.93,30.16
59.63,20.3,17,72.9,47.02,0,0,13.2,11.4,24.59
66.25,18.1,90,73.0,47.05,0,0,11.77,13.02,24.79
90.57,13.3,100,73.0,47.02,0,0,8.64,7.25,15.89
98.3,35.5,88,72.9,44.68,0,0,23.07,10.8,33.88
103.82,13.8,85,72.8,47.04,0,0,8.97,8.32,17.29
123.7,5.1,67,73.0,44.71,0,0,3.31,8.51,11.83
129.22,12.1,100,72.9,47.1,0,0,7.87,7.34,15.21
143.59,10.9,90,72.7,44.18,0,0,7.08,10.37,17.45
156.85,25.0,91,72.3,47.24,0,0,16.25,12.78,29.03
162.37,8.2,4,72.3,47.25,0,0,5.33,5.88,11.21
163.47,38.3,89,72.4,43.89,0,0,24.89,27.74,52.63
164.58,30.8,90,72.4,43.89,0,0,20.02,29.85,49.87
165.68,22.1,91,72.4,43.89,0,0,14.37,29.96,44.32
175.62,1.6,57,72.4,46.08,0,0,1.04,12.5,13.54
189.98,25.8,3,72.1,46.14,0,0,16.77,5.95,22.72
191.09,13.6,91,72.1,36.72,0,0,8.84,27.76,36.6
192.2,18.2,91,72.1,36.73,0,0,11.83,29.85,41.68
193.3,7.1,90,72.1,36.74,0,0,4.61,29.93,34.54
197.72,16.9,90,72.8,39.88,0,0,10.98,13.95,24.93
198.82,8.1,91,72.8,39.95,0,0,5.27,29.97,35.24
199.92,6.1,89,72.7,40.01,0,0,3.96,28.74,32.71
204.34,21.1,90,72.2,36.79,0,0,13.72,11.2,24.92
205.44,34.0,89,72.2,36.81,0,0,22.1,29.95,52.05
206.55,12.5,91,72.2,36.81,0,0,8.12,29.98,38.11
207.65,10.0,24,72.2,36.82,0,0,6.5,27.67,34.17
223.11,12.1,100,72.1,39.96,0,0,7.87,7.08,14.95
231.95,22.2,91,72.2,44.47,0,0,14.43,15.8,30.23
