# Ollama Monitoring Session
# Start Time:,2026-01-20 01:32:43
# Duration:,399.9 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
0.0,5.1,0,72.0,23.41,0,0,3.31,5.32,8.63
1.11,7.6,0,72.0,23.41,0,0,4.94,5.31,10.25
2.21,0.0,0,72.0,23.41,0,0,0.0,5.31,5.31
3.32,22.6,0,72.2,23.41,0,0,14.69,5.31,20.0
4.42,8.0,0,72.4,23.41,0,0,5.2,5.32,10.52
5.53,5.7,0,72.7,23.41,0,0,3.71,5.35,9.06
6.63,3.0,0,72.6,23.41,0,0,1.95,5.34,7.29
7.74,0.0,0,72.6,23.41,0,0,0.0,5.31,5.31
8.84,5.4,0,73.3,23.41,0,0,3.51,5.31,8.82
9.95,17.9,0,73.5,23.41,0,0,11.63,5.32,16.96
11.05,5.3,0,73.5,23.41,0,0,3.44,5.33,8.78
12.15,15.3,0,73.5,23.41,0,0,9.95,5.33,15.28
13.26,3.2,0,73.6,23.41,0,0,2.08,5.32,7.4
14.36,7.7,0,73.7,23.42,0,0,5.0,5.34,10.34
15.47,24.2,88,73.9,31.21,0,0,15.73,8.26,23.99
16.57,17.5,89,73.9,31.21,0,0,11.38,29.98,41.36
17.68,6.3,23,74.5,31.21,0,0,4.09,27.59,31.69
18.79,2.4,0,74.3,31.21,0,0,1.56,15.06,16.62
19.89,14.6,95,74.3,38.83,0,0,9.49,13.24,22.73
20.99,28.6,91,74.5,38.84,0,0,18.59,29.88,48.47
22.1,26.7,91,73.7,38.91,0,0,17.36,29.96,47.31
23.2,5.3,0,73.6,38.96,0,0,3.44,24.02,27.47
24.3,26.1,0,73.1,38.96,0,0,16.96,14.5,31.46
25.41,11.1,0,73.0,38.96,0,0,7.21,12.31,19.53
26.51,3.8,0,72.9,38.96,0,0,2.47,9.83,12.3
27.62,38.1,90,72.9,36.55,0,0,24.77,12.48,37.25
28.72,36.5,90,72.8,36.57,0,0,23.72,29.96,53.68
29.82,4.1,10,72.8,36.58,0,0,2.66,25.53,28.2
30.93,1.1,0,72.9,36.58,0,0,0.72,14.84,15.55
32.03,15.3,0,72.8,36.59,0,0,9.95,12.11,22.05
33.14,46.2,90,73.0,38.95,0,0,30.03,16.61,46.64
34.24,20.7,87,73.0,38.95,0,0,13.46,28.54,41.99
35.34,3.5,0,73.0,38.95,0,0,2.28,14.82,17.1
36.45,2.6,0,73.0,38.95,0,0,1.69,12.17,13.86
37.55,3.2,0,73.0,39.03,0,0,2.08,10.03,12.11
38.65,29.3,89,73.0,36.7,0,0,19.04,17.03,36.08
39.76,8.2,0,73.0,36.7,0,0,5.33,20.73,26.06
40.86,1.3,0,73.0,36.7,0,0,0.85,14.57,15.42
41.97,3.8,0,73.0,36.7,0,0,2.47,12.5,14.97
43.07,13.6,95,73.0,39.05,0,0,8.84,6.98,15.82
44.17,28.8,90,73.0,39.05,0,0,18.72,29.77,48.5
45.28,9.9,0,73.0,39.05,0,0,6.44,19.75,26.18
46.38,7.8,0,73.1,39.05,0,0,5.07,15.11,20.18
47.48,1.2,0,73.0,39.05,0,0,0.78,12.65,13.43
48.59,20.0,90,73.0,44.35,0,0,13.0,10.72,23.72
49.69,16.7,87,73.0,44.36,0,0,10.85,29.97,40.82
50.8,21.7,91,73.1,44.36,0,0,14.11,29.98,44.09
51.9,13.7,91,73.1,44.36,0,0,8.9,29.96,38.87
53.0,6.7,0,73.0,44.36,0,0,4.36,16.05,20.41
54.11,15.3,0,73.0,44.42,0,0,9.95,12.22,22.17
55.21,25.0,89,73.0,46.8,0,0,16.25,27.66,43.91
56.31,17.7,91,72.9,46.88,0,0,11.5,29.8,41.31
57.42,6.5,16,72.9,46.95,0,0,4.23,25.93,30.16
58.52,0.0,0,72.9,46.95,0,0,0.0,15.24,15.24
59.63,20.3,17,72.9,47.02,0,0,13.2,11.4,24.59
60.73,9.1,0,72.9,47.02,0,0,5.92,15.52,21.43
61.83,12.9,0,72.9,47.02,0,0,8.38,12.73,21.11
62.94,11.2,0,72.9,47.02,0,0,7.28,10.4,17.68
64.04,3.6,0,73.0,47.02,0,0,2.34,8.02,10.36
65.15,1.4,0,73.0,47.02,0,0,0.91,7.4,8.31
66.25,18.1,90,73.0,47.05,0,0,11.77,13.02,24.79
67.36,11.9,0,73.0,47.05,0,0,7.74,15.81,23.54
68.46,20.0,0,73.0,47.13,0,0,13.0,12.27,25.27
69.57,1.4,0,73.0,47.13,0,0,0.91,10.14,11.05
70.67,19.1,0,73.0,47.18,0,0,12.42,8.04,20.46
71.78,27.0,0,73.0,44.59,0,0,17.55,12.57,30.12
72.89,11.1,0,72.9,44.59,0,0,7.21,15.69,22.9
73.99,7.7,0,72.8,44.59,0,0,5.0,12.27,17.27
75.09,8.5,0,72.9,44.59,0,0,5.53,10.12,15.64
76.2,1.4,0,72.9,44.59,0,0,0.91,8.03,8.94
77.3,17.8,0,73.7,44.64,0,0,11.57,6.92,18.49
78.41,15.5,0,73.8,47.0,0,0,10.07,17.02,27.1
79.51,12.9,0,73.9,47.0,0,0,8.38,15.76,24.14
80.62,1.4,0,73.7,47.0,0,0,0.91,12.72,13.63
81.73,8.4,0,73.6,47.0,0,0,5.46,10.1,15.55
82.84,13.3,0,73.5,47.02,0,0,8.64,5.77,14.42
83.94,1.2,0,73.0,44.61,0,0,0.78,15.21,15.98
85.04,20.0,0,73.0,44.61,0,0,13.0,12.63,25.63
86.15,3.6,0,73.0,44.61,0,0,2.34,10.33,12.67
87.25,4.5,0,73.0,44.61,0,0,2.92,8.01,10.94
88.36,4.3,0,73.0,44.61,0,0,2.79,6.96,9.76
89.47,7.3,0,72.9,44.61,0,0,4.75,5.87,10.61
90.57,13.3,100,73.0,47.02,0,0,8.64,7.25,15.89
91.67,5.1,0,73.0,47.03,0,0,3.31,22.98,26.3
92.78,3.6,0,73.0,47.03,0,0,2.34,15.2,17.54
93.88,8.4,0,72.9,47.03,0,0,5.46,12.63,18.09
94.99,9.7,0,73.0,47.03,0,0,6.3,10.06,16.36
96.09,5.9,0,73.0,47.03,0,0,3.84,6.6,10.44
97.2,3.5,0,73.0,47.1,0,0,2.28,5.53,7.8
98.3,35.5,88,72.9,44.68,0,0,23.07,10.8,33.88
99.4,13.8,0,72.9,44.68,0,0,8.97,14.68,23.65
100.51,5.7,0,72.9,44.68,0,0,3.71,12.13,15.83
101.61,9.9,0,72.9,44.68,0,0,6.44,10.01,16.45
102.71,13.7,0,72.9,44.68,0,0,8.9,7.95,16.85
103.82,13.8,85,72.8,47.04,0,0,8.97,8.32,17.29
104.92,0.5,0,72.8,47.04,0,0,0.33,13.08,13.41
106.03,5.2,0,72.8,47.04,0,0,3.38,11.05,14.43
107.13,7.8,0,72.8,47.04,0,0,5.07,9.5,14.57
108.24,1.2,0,72.8,47.04,0,0,0.78,6.97,7.75
109.34,11.9,0,72.7,47.04,0,0,7.74,5.83,13.57
110.44,25.4,0,72.8,44.69,0,0,16.51,8.86,25.37
111.55,13.6,0,72.8,44.69,0,0,8.84,14.44,23.27
112.65,7.4,0,72.8,44.69,0,0,4.81,12.55,17.36
113.75,0.0,0,72.8,44.69,0,0,0.0,10.25,10.25
114.86,14.5,0,72.8,44.74,0,0,9.42,7.83,17.26
115.96,1.0,0,72.8,47.09,0,0,0.65,9.51,10.16
117.07,2.1,0,72.8,47.09,0,0,1.36,12.65,14.01
118.17,4.3,0,72.8,47.09,0,0,2.79,10.75,13.54
119.27,8.2,0,72.9,47.09,0,0,5.33,9.35,14.68
120.38,23.9,0,72.9,47.09,0,0,15.54,6.24,21.77
121.49,4.0,0,72.9,47.09,0,0,2.6,5.6,8.2
122.6,7.4,0,72.9,47.09,0,0,4.81,5.47,10.28
123.7,5.1,67,73.0,44.71,0,0,3.31,8.51,11.83
124.8,5.4,0,73.0,44.71,0,0,3.51,14.56,18.07
125.91,6.2,0,72.9,44.71,0,0,4.03,12.5,16.53
127.01,2.8,0,73.0,44.71,0,0,1.82,10.23,12.05
128.12,2.4,0,73.0,44.71,0,0,1.56,6.96,8.52
129.22,12.1,100,72.9,47.1,0,0,7.87,7.34,15.21
130.33,11.5,0,72.8,47.1,0,0,7.48,15.55,23.03
131.43,4.8,0,72.9,47.1,0,0,3.12,12.05,15.17
132.54,3.9,0,72.8,47.1,0,0,2.54,9.95,12.48
133.64,0.0,0,72.8,47.1,0,0,0.0,7.88,7.88
134.75,39.7,0,72.8,47.14,0,0,25.8,6.63,32.44
135.86,21.2,0,72.8,43.66,0,0,13.78,12.1,25.88
136.96,32.7,0,72.9,43.66,0,0,21.26,11.93,33.19
138.07,3.1,0,73.4,43.66,0,0,2.02,10.21,12.22
139.17,7.0,0,73.4,43.66,0,0,4.55,6.74,11.29
140.28,9.6,0,73.3,43.66,0,0,6.24,5.68,11.92
141.38,17.9,0,73.1,43.66,0,0,11.63,5.57,17.2
142.48,12.8,0,73.1,43.68,0,0,8.32,5.48,13.8
143.59,10.9,90,72.7,44.18,0,0,7.08,10.37,17.45
144.69,5.3,0,72.7,44.18,0,0,3.44,15.36,18.8
145.8,11.2,0,72.7,44.18,0,0,7.28,12.08,19.36
146.9,24.7,0,72.7,44.18,0,0,16.05,10.01,26.06
148.01,42.3,0,72.6,44.18,0,0,27.49,7.56,35.06
149.11,35.4,0,72.2,44.21,0,0,23.01,5.72,28.73
150.21,13.0,0,72.2,45.95,0,0,8.45,10.85,19.3
151.32,15.2,0,72.2,45.95,0,0,9.88,10.76,20.64
152.42,1.4,0,72.3,45.95,0,0,0.91,8.04,8.95
153.53,16.1,0,72.3,45.95,0,0,10.46,6.29,16.76
154.64,5.1,0,72.3,45.95,0,0,3.31,5.64,8.95
155.74,11.0,0,72.3,45.96,0,0,7.15,5.52,12.67
156.85,25.0,91,72.3,47.24,0,0,16.25,12.78,29.03
157.95,5.4,0,72.3,47.24,0,0,3.51,19.27,22.78
159.06,6.6,0,72.3,47.24,0,0,4.29,16.08,20.37
160.16,0.0,0,72.3,47.24,0,0,0.0,9.98,9.98
161.27,6.4,0,72.3,47.24,0,0,4.16,6.6,10.76
162.37,8.2,4,72.3,47.25,0,0,5.33,5.88,11.21
163.47,38.3,89,72.4,43.89,0,0,24.89,27.74,52.63
164.58,30.8,90,72.4,43.89,0,0,20.02,29.85,49.87
165.68,22.1,91,72.4,43.89,0,0,14.37,29.96,44.32
166.78,7.4,0,72.4,43.89,0,0,4.81,22.71,27.52
167.89,1.4,0,72.4,43.89,0,0,0.91,14.93,15.84
168.99,14.8,0,72.4,43.9,0,0,9.62,10.29,19.91
170.1,4.6,0,72.3,44.18,0,0,2.99,13.87,16.86
171.2,3.8,0,72.3,44.18,0,0,2.47,14.62,17.09
172.31,12.3,0,72.4,44.18,0,0,8.0,12.64,20.64
173.41,4.9,0,72.3,44.18,0,0,3.19,7.49,10.67
174.52,29.2,0,72.3,44.3,0,0,18.98,6.32,25.3
175.62,1.6,57,72.4,46.08,0,0,1.04,12.5,13.54
176.73,3.8,0,72.4,46.08,0,0,2.47,14.99,17.46
177.83,5.7,0,72.3,46.08,0,0,3.71,12.6,16.3
178.94,4.2,0,72.4,46.08,0,0,2.73,10.29,13.02
180.04,3.0,0,72.3,46.08,0,0,1.95,7.98,9.93
181.15,100.0,0,72.3,46.08,0,0,65.0,7.91,72.91
182.25,12.8,0,72.3,46.09,0,0,8.32,6.92,15.25
183.35,1.4,0,72.2,46.09,0,0,0.91,14.51,15.42
184.46,2.5,0,72.2,46.09,0,0,1.62,15.22,16.85
185.57,11.2,0,72.1,46.09,0,0,7.28,12.55,19.83
186.67,2.7,0,72.1,46.09,0,0,1.76,10.27,12.02
187.77,2.7,0,72.2,46.09,0,0,1.76,7.37,9.13
188.88,7.5,0,72.2,46.09,0,0,4.88,6.27,11.15
189.98,25.8,3,72.1,46.14,0,0,16.77,5.95,22.72
191.09,13.6,91,72.1,36.72,0,0,8.84,27.76,36.6
192.2,18.2,91,72.1,36.73,0,0,11.83,29.85,41.68
193.3,7.1,90,72.1,36.74,0,0,4.61,29.93,34.54
194.41,2.5,0,72.1,36.74,0,0,1.62,14.63,16.26
195.51,0.0,0,72.1,36.74,0,0,0.0,12.27,12.27
196.61,10.7,0,72.1,36.82,0,0,6.96,9.74,16.69
197.72,16.9,90,72.8,39.88,0,0,10.98,13.95,24.93
